ID,Game Title,Source,Keywords used to find the games,Your Name,Included,Exclusion Reason,URL,Year game was published,Game creators (developer(s)),Game publisher (If different),Still being used in classrooms?,Still accessible/downloadable?,Discontinued support?,Subject1,Subject2,"Subject remainder (a, b, c)","Teaching (College, Training, Work)",Colleges that use the game,Cost,"Game Type (Story, Simulation...)","Genre: single player, multiplayer, other (specify)",Tags,Game Time,2D/3D,Sound,Platform,Available in Spanish,Available in other languages,Notes,Image1,Image2,Image3,Video
,Algebra Ridge,Steam,Algebra,Lenny,,,https://store.steampowered.com/app/1379510/Algebra_Ridge/,2020/11/30,Daksuki,Daksuki,unclear,Y,,Mathematics,Algebra,,unclear,unclear,Free ,,"Single Player, Indie, Visual Novel",,,,,,,,,,,,
,"MEDICALHOLODECK. Virtual Reality for Surgical Teaching, Anatomy Training, and Medical Education",Steam,Educational Nursing,Emma,TRUE,,https://store.steampowered.com/app/754010/MEDICALHOLODECK_Virtual_Reality_for_Surgical_Teaching_Anatomy_Training_and_Medical_Education/,2023/10/7,Medicalholodeck.com,N/A,unclear,Y,N,Medical,Nursing,,unclear,unclear,Free ,,Single Player,"Medical Sim, Educational, Free to play, Simulation",,3D,Unclear,VR,English,,,,,,
,The King's Request: Physiology and Anatomy Revision Game,Steam,Educational Nursing,Emma,TRUE,,https://store.steampowered.com/app/873230/The_Kings_Request_Physiology_and_Anatomy_Revision_Game/,2023/6/27,Physiology with Dr Christian,N/A,unclear,Y,N,Medical,Nursing,,unclear,unclear,Free ,,Single Player,"Adventure, RPG, Free to Play, Casual, Science",,,Y,"PC: Microsoft Windows, MacOS, Linux",,,,,,,
,VR Patients,Steam,nursing,Sherry ,,,https://store.steampowered.com/app/703910/VR_Patients/,2022/9/2,VRpatients,VRpatients,Yes,Yes,No,EMS,Nursing,Medical,Graduate,"Lenoir Community College, Portland Community College, Bethel College","Note: App is free on Steam, Metaquest; however for up to 4 instructors it is $5000/year, and any active seats (students) would be $100/year (the paid version probably comes with access to grading + other cases + more features)",,"Single Player, Simulation","Simulation, VR",,3D,Yes,"PC, VR",No,English,,,,,
,Pachansky Mathematics 2+2=8,Steam,mathematics,Eric,TRUE,,https://store.steampowered.com/app/918260/Pachansky_,2018,"Nikita ""Ghost_RUS""",Ghost_RUS Games,,Y,,Mathematics,,,,,$0.99,,Single Player,"simulation, indie, casual",,2D,,,,,,,,,
,Math Fun,Steam,math,Eric,,,https://store.steampowered.com/app/890220/Math_Fun/,2017,Yash Future Tech Solutions Pvt Ltd,,,Yes,,Mathematics,,,,,$4.99,,"Single Player,  Casual, Indie, Strategy","Education, Story Rich, Difficult, Cult Classic",,2D,,"PC:Microsoft Windows, MacOS, Linux",,,,,,,
,GeoGebra Mixed Reality,Steam,mathematics,Sherry ,,,https://store.steampowered.com/search/?term=mathematics,2018/10/12,"International GeoGebra Institute, IGI","International GeoGebra Institute, IGI",Unclear,Yes,Unclear,Mathematics,Geometry,,Unclear,Unclear,Free,,"Single Player, Simulation","Simulation, VR",,3D,Yes,VR,No,English,,,,,
,Project Hospital,GOG Galaxy,Education,Anthony,,,https://www.gog.com/en/game/project_hospital,2018,Oxymoron Games,Oxymoron Games,,Yes,No,Medical,,,Undefined,,$24.99,,"Strategy, Managerial, Simulation","Indie, 2D, Great Soundtrack, Management, Sandbox, Resource Management, Isometric, Base Building, Real-Time, City builder, Education",,2D,Yes,"PC:Microsoft Windows, MacOS, Linux",Yes,16 languages,,,,,
,The Devil's Calculator,Steam,mathematics,Lenny,,,https://store.steampowered.com/app/1014280/The_Devils_Calculator/,2019/7/28,Christopher Cinq-Mars Jarvis,Cinq-Mars Media,unclear,Yes,unclear,Mathematics,,,Undefined,,$2.99,,"Single Player, Puzzel","Puzzle, Indie, Logic, Education",,2D,Yes,"PC:Microsoft Windows, MacOS, Linux",,,,,,,
,PC Building Simulator,GOG Galaxy,Education,Anthony,TRUE,,https://www.gog.com/en/game/pc_building_simulator,2019/1/29,"Claudiu Kiss, The Irregular Corporation",The Irregular Corporation,Unclear,Y,No,Educational,Technology,,Unclear,Unclear,$4.99,,Single Player,"Atmospheric, Puzzle, First-Person, Management, Casual, Sandbox, Relaxing, Modern, Realistic, building, LifeSim, Education",,3D,Yes,Windows,Yes,10 Languages,,,,,
